time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873643.50063,0.112367272,0.847997129,-1.010540962,0.201527238,-0.184474933,0.069557229,1.410082078,0.470027351,0.388803333
1722873643.5025,0.112609506,0.84757328,-1.010272384,0.159671581,-0.203077447,0.07279245,1.410082078,0.400760162,0.331905276
1722873643.50455,0.112881958,0.847179651,-1.010272384,0.155796057,-0.234081638,0.076836475,1.400186753,0.405707824,0.293973237
1722873643.50652,0.113124192,0.846816301,-1.01001966,0.164322209,-0.220129752,0.068748423,1.429872704,0.430446106,0.303456247
1722873643.5085,0.113517821,0.84611994,-1.009877563,0.168972838,-0.209278291,0.071174836,1.469453955,0.430446106,0.28449024
1722873643.51056,0.113760054,0.845665812,-1.009766936,0.17749899,-0.198426825,0.072388043,1.449663329,0.470027357,0.256041223
1722873643.51251,0.113972008,0.845363021,-1.009640574,0.169747943,-0.215479127,0.073196849,1.454610991,0.450236732,0.275007236
1722873643.51481,0.114395857,0.844999671,-1.009435177,0.134093124,-0.22633059,0.067130814,1.405134439,0.405707824,0.293973243
1722873643.51652,0.114668369,0.844606042,-1.009340405,0.137968647,-0.265860933,0.055403143,1.410082078,0.410655481,0.312939256
1722873643.51858,0.114819765,0.843849123,-1.009214044,0.155020952,-0.247258419,0.061873581,1.439768004,0.440341419,0.322422266
1722873643.52087,0.115061998,0.843455553,-1.009087682,0.148820114,-0.221679968,0.069557226,1.439768004,0.450236732,0.369837314
1722873643.5227,0.115304172,0.843061924,-1.008977056,0.134868228,-0.233306539,0.068344019,1.454610991,0.534346879,0.331905288
1722873643.52471,0.115606964,0.842698574,-1.008834958,0.163547105,-0.213928917,0.061064775,1.484296942,0.534346879,0.275007242
1722873643.52671,0.115788639,0.842335224,-1.008708477,0.182149619,-0.203077447,0.081284902,1.459558654,0.529399228,0.256041217
1722873643.52852,0.116212487,0.841911376,-1.008455753,0.180599409,-0.203852552,0.091799369,1.419977403,0.484870327,0.256041217
1722873643.53064,0.11645472,0.841124177,-1.008345246,0.168197733,-0.199977028,0.079667293,1.365553188,0.494765651,0.246558213
1722873643.5326,0.116666675,0.840700269,-1.00820303,0.155020952,-0.179824305,0.063086788,1.370500851,0.484870338,0.256041217
1722873643.5346,0.116939187,0.840336919,-1.008029222,0.145719695,-0.196101505,0.062277982,1.370500827,0.479922676,0.256041217
1722873643.53655,0.11718142,0.839882731,-1.00787127,0.137968647,-0.245708209,0.080476096,1.390291452,0.509608597,0.208626175
1722873643.53855,0.117665827,0.839489162,-1.007618546,0.126342076,-0.247258419,0.082498108,1.400186777,0.539294535,0.218109179
1722873643.54051,0.117665827,0.83918637,-1.007618546,0.116265714,-0.210828495,0.075623265,1.410082102,0.479922664,0.256041205
1722873643.54254,0.117908061,0.838732243,-1.00750792,0.124791867,-0.220904857,0.062277983,1.390291452,0.465079713,0.26552422
1722873643.54451,0.118210852,0.838217497,-1.007334232,0.158896482,-0.234856743,0.063895594,1.419977379,0.460132056,0.26552422
1722873643.54653,0.118634701,0.837490857,-1.007097244,0.168197739,-0.224005282,0.059851567,1.380396128,0.460132051,0.256041217
1722873643.54881,0.118876934,0.837490857,-1.007018209,0.185250041,-0.203077459,0.046101882,1.335867238,0.445289075,0.208626175
1722873643.5506,0.119058609,0.836764216,-1.006891847,0.175948781,-0.219354656,0.041653454,1.325971913,0.494765627,0.218109179
1722873643.55255,0.119361401,0.836400867,-1.006765485,0.185250038,-0.206952974,0.042866663,1.370500827,0.494765627,0.237075198
1722873643.55465,0.119603574,0.8359164,-1.006623387,0.169747943,-0.194551295,0.056211946,1.350710201,0.529399228,0.26552422
1722873643.55653,0.119906366,0.835492492,-1.006496906,0.172848362,-0.194551301,0.059447166,1.340814877,0.534346902,0.218109179
1722873643.5585,0.120148599,0.835008085,-1.006260037,0.160446686,-0.235631853,0.059042762,1.35565784,0.514556277,0.170694137
1722873643.56051,0.120421112,0.834553957,-1.006260037,0.142619276,-0.241832688,0.056211945,1.330919552,0.519503915,0.142245114
1722873643.56252,0.120754123,0.834160328,-1.006117821,0.161996895,-0.217804438,0.051763517,1.296285963,0.499713284,0.180177152
1722873643.56482,0.120996356,0.833766699,-1.005975604,0.175948781,-0.192225981,0.056616347,1.311128926,0.479922664,0.180177152
1722873643.56666,0.121511102,0.833251953,-1.005707145,0.220904857,-0.220129752,0.067130813,1.325971913,0.494765639,0.161211133
